Алгоритм,Суммы,Наибольшая сумма,N,M
GoldbergElite-CriticalPath,"100, 0, 226, 106, 3064",215.2020202020202,5,71
GoldbergElite-CriticalPath,"100, 0, 193, 187, 6379",179.95959595959596,6,71
GoldbergElite-CriticalPath,"100, 0, 165, 118, 4257",155.88888888888889,7,71
GoldbergElite-CriticalPath,"100, 0, 155, 180, 6477",137.17171717171718,8,71
GoldbergElite-CriticalPath,"100, 0, 125, 100, 3665",123.04040404040404,9,71
GoldbergElite-CriticalPath,"100, 0, 123, 275, 10482",111.33333333333333,10,71
GoldbergElite-CriticalPath,"100, 0, 109, 120, 4630",102.71717171717172,11,71
GoldbergElite-CriticalPath,"100, 0, 108, 146, 5618",94.0909090909091,12,71
GoldbergElite-CriticalPath,"100, 0, 110, 259, 9275",87.66666666666667,13,71
GoldbergElite-CriticalPath,"100, 0, 96, 302, 10707",81.52525252525253,14,71
GoldbergElite-CriticalPath,"100, 0, 75, 252, 8499",76.93939393939394,15,71
Crone_After_Goldberg,"100, 0, 295, 127, 3687",213.72727272727272,5,71
Crone_After_Goldberg,"100, 0, 215, 255, 3",177.67676767676767,6,71
Crone_After_Goldberg,"100, 0, 223, 161, 5",152.77777777777777,7,71
Crone_After_Goldberg,"100, 0, 291, 141, 6",133.53535353535352,8,71
Crone_After_Goldberg,"100, 0, 189, 118, 121",118.98989898989899,9,71
Crone_After_Goldberg,"100, 0, 215, 237, 20",107.08080808080808,10,71
Crone_After_Goldberg,"100, 0, 148, 142, 98",97.94949494949495,11,71
Crone_After_Goldberg,"100, 0, 117, 177, 6",89.44444444444444,12,71
Crone_After_Goldberg,"100, 0, 150, 149, 3052",82.79797979797979,13,71
Crone_After_Goldberg,"100, 0, 156, 236, 80",77.24242424242425,14,71
Crone_After_Goldberg,"100, 0, 116, 215, 11",71.86868686868686,15,71
GoldbergElite-CroneMod,"100, 0, 217, 100, 2680",213.72727272727272,5,71
GoldbergElite-CroneMod,"100, 0, 175, 100, 3339",177.67676767676767,6,71
GoldbergElite-CroneMod,"100, 0, 149, 100, 3537",152.77777777777777,7,71
GoldbergElite-CroneMod,"100, 0, 134, 100, 3433",133.5050505050505,8,71
GoldbergElite-CroneMod,"100, 0, 121, 100, 3792",118.97979797979798,9,71
GoldbergElite-CroneMod,"100, 0, 106, 100, 3759",106.97979797979798,10,71
GoldbergElite-CroneMod,"100, 0, 98, 100, 3820",97.85858585858585,11,71
GoldbergElite-CroneMod,"100, 0, 87, 100, 3996",89.29292929292929,12,71
GoldbergElite-CroneMod,"100, 0, 85, 100, 3538",82.4040404040404,13,71
GoldbergElite-CroneMod,"100, 0, 77, 100, 3466",76.3030303030303,14,71
GoldbergElite-CroneMod,"100, 0, 67, 100, 3284",71.3030303030303,15,71
Goldberg,"100, 0, 295, 127, 3752",215.13131313131314,5,71
Goldberg,"100, 0, 215, 255, 2693",179.88888888888889,6,71
Goldberg,"100, 0, 223, 161, 2773",155.7171717171717,7,71
Goldberg,"100, 0, 291, 141, 4969",137.1919191919192,8,71
Goldberg,"100, 0, 189, 118, 4773",122.93939393939394,9,71
Goldberg,"100, 0, 215, 237, 4043",111.33333333333333,10,71
Goldberg,"100, 0, 148, 142, 4805",102.63636363636364,11,71
Goldberg,"100, 0, 117, 177, 5206",94.41414141414141,12,71
Goldberg,"100, 0, 150, 149, 2986",87.58585858585859,13,71
Goldberg,"100, 0, 156, 236, 3078",82.02020202020202,14,71
Goldberg,"100, 0, 116, 215, 3475",77.18181818181819,15,71
GoldbergElite-Crone,"100, 0, 217, 100, 2621",213.72727272727272,5,71
GoldbergElite-Crone,"100, 0, 175, 100, 3359",177.67676767676767,6,71
GoldbergElite-Crone,"100, 0, 149, 100, 3633",152.77777777777777,7,71
GoldbergElite-Crone,"100, 0, 134, 100, 3629",133.5050505050505,8,71
GoldbergElite-Crone,"100, 0, 121, 100, 3912",119.15151515151516,9,71
GoldbergElite-Crone,"100, 0, 106, 100, 3931",107.03030303030303,10,71
GoldbergElite-Crone,"100, 0, 98, 100, 3781",97.97979797979798,11,71
GoldbergElite-Crone,"100, 0, 88, 100, 3914",89.6969696969697,12,71
GoldbergElite-Crone,"100, 0, 85, 100, 3524",82.75757575757575,13,71
GoldbergElite-Crone,"100, 0, 77, 100, 3518",77.32323232323232,14,71
GoldbergElite-Crone,"100, 0, 68, 100, 3448",72.14141414141415,15,71
